areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
region,London,E12000007,2021.8.20,4,15972
region,London,E12000007,2021.8.19,9,15968
region,London,E12000007,2021.8.18,8,15959
region,London,E12000007,2021.8.17,10,15951
region,London,E12000007,2021.8.16,8,15941
region,London,E12000007,2021.8.15,12,15933
region,London,E12000007,2021.8.14,12,15921
region,London,E12000007,2021.8.13,7,15909
region,London,E12000007,2021.8.12,13,15902
region,London,E12000007,2021.8.11,11,15889
region,London,E12000007,2021.8.10,6,15878
region,London,E12000007,2021.8.9,8,15872
region,London,E12000007,2021.8.8,7,15864
region,London,E12000007,2021.8.7,8,15857
region,London,E12000007,2021.8.6,8,15849
region,London,E12000007,2021.8.5,14,15841
region,London,E12000007,2021.8.4,13,15827
region,London,E12000007,2021.8.3,5,15814
region,London,E12000007,2021.8.2,8,15809
region,London,E12000007,2021.8.1,9,15801
region,London,E12000007,2021.7.31,8,15792
region,London,E12000007,2021.7.30,12,15784
region,London,E12000007,2021.7.29,10,15772
region,London,E12000007,2021.7.28,10,15762
region,London,E12000007,2021.7.27,4,15752
region,London,E12000007,2021.7.26,8,15748
region,London,E12000007,2021.7.25,5,15740
region,London,E12000007,2021.7.24,4,15735
region,London,E12000007,2021.7.23,10,15731
region,London,E12000007,2021.7.22,5,15721
region,London,E12000007,2021.7.21,8,15716
region,London,E12000007,2021.7.20,8,15708
region,London,E12000007,2021.7.19,6,15700
region,London,E12000007,2021.7.18,7,15694
region,London,E12000007,2021.7.17,3,15687
region,London,E12000007,2021.7.16,2,15684
region,London,E12000007,2021.7.15,2,15682
region,London,E12000007,2021.7.14,3,15680
region,London,E12000007,2021.7.13,4,15677
region,London,E12000007,2021.7.12,2,15673
region,London,E12000007,2021.7.11,0,15671
region,London,E12000007,2021.7.10,3,15671
region,London,E12000007,2021.7.9,1,15668
region,London,E12000007,2021.7.8,2,15667
region,London,E12000007,2021.7.7,2,15665
region,London,E12000007,2021.7.6,1,15663
region,London,E12000007,2021.7.5,2,15662
region,London,E12000007,2021.7.4,1,15660
region,London,E12000007,2021.7.3,3,15659
region,London,E12000007,2021.7.2,2,15656
region,London,E12000007,2021.7.1,3,15654
region,London,E12000007,2021.6.30,4,15651
region,London,E12000007,2021.6.29,3,15647
region,London,E12000007,2021.6.28,0,15644
region,London,E12000007,2021.6.27,3,15644
region,London,E12000007,2021.6.26,0,15641
region,London,E12000007,2021.6.25,3,15641
region,London,E12000007,2021.6.24,3,15638
region,London,E12000007,2021.6.23,0,15635
region,London,E12000007,2021.6.22,0,15635
region,London,E12000007,2021.6.21,2,15635
region,London,E12000007,2021.6.20,1,15633
region,London,E12000007,2021.6.19,2,15632
region,London,E12000007,2021.6.18,4,15630
region,London,E12000007,2021.6.17,2,15626
region,London,E12000007,2021.6.16,1,15624
region,London,E12000007,2021.6.15,1,15623
region,London,E12000007,2021.6.14,0,15622
region,London,E12000007,2021.6.13,1,15622
region,London,E12000007,2021.6.12,5,15621
region,London,E12000007,2021.6.11,0,15616
region,London,E12000007,2021.6.10,0,15616
region,London,E12000007,2021.6.9,2,15616
