areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,London,E12000007,2021-08-20,723,964747
region,London,E12000007,2021-08-19,2914,964024
region,London,E12000007,2021-08-18,3521,961110
region,London,E12000007,2021-08-17,3605,957589
region,London,E12000007,2021-08-16,3786,953984
region,London,E12000007,2021-08-15,2677,950198
region,London,E12000007,2021-08-14,2880,947521
region,London,E12000007,2021-08-13,3651,944641
region,London,E12000007,2021-08-12,3912,940990
region,London,E12000007,2021-08-11,4244,937078
region,London,E12000007,2021-08-10,3800,932834
region,London,E12000007,2021-08-09,3797,929034
region,London,E12000007,2021-08-08,2837,925237
region,London,E12000007,2021-08-07,2930,922400
region,London,E12000007,2021-08-06,3619,919470
region,London,E12000007,2021-08-05,4172,915851
region,London,E12000007,2021-08-04,4181,911679
region,London,E12000007,2021-08-03,3936,907498
region,London,E12000007,2021-08-02,3885,903562
region,London,E12000007,2021-08-01,2618,899677
region,London,E12000007,2021-07-31,2592,897059
region,London,E12000007,2021-07-30,3260,894467
region,London,E12000007,2021-07-29,3795,891207
region,London,E12000007,2021-07-28,3870,887412
region,London,E12000007,2021-07-27,3802,883542
region,London,E12000007,2021-07-26,3962,879740
region,London,E12000007,2021-07-25,2815,875778
region,London,E12000007,2021-07-24,3045,872963
region,London,E12000007,2021-07-23,3848,869918
region,London,E12000007,2021-07-22,4216,866070
region,London,E12000007,2021-07-21,4678,861854
region,London,E12000007,2021-07-20,5002,857176
region,London,E12000007,2021-07-19,5998,852174
region,London,E12000007,2021-07-18,4415,846176
region,London,E12000007,2021-07-17,4972,841761
region,London,E12000007,2021-07-16,7005,836789
region,London,E12000007,2021-07-15,7629,829784
region,London,E12000007,2021-07-14,6383,822155
region,London,E12000007,2021-07-13,5189,815772
region,London,E12000007,2021-07-12,4870,810583
region,London,E12000007,2021-07-11,3217,805713
region,London,E12000007,2021-07-10,3183,802496
region,London,E12000007,2021-07-09,3579,799313
region,London,E12000007,2021-07-08,3580,795734
region,London,E12000007,2021-07-07,4409,792154
